site_id,osm_id,confidence,review,match
34821,923325707,0.8,1,citta
34810,953916157,0.79,1,paese
34819,5425887871,0.84,1,paese
38172,427596967,1,0,citta
31210,456221966,0.62,1,citta
31209,425416891,1,0,citta
35404,12770917770,0.63,1,citta
35410,500011365,0.5,1,citta
31177,10775357182,0.9,0,paese
26503,45208367,1,0,paese
35473,973231680,0.94,0,paese
38306,237463859,0.55,1,citta
31329,708595627,1,0,citta
38557,1226917956,1,0,paese
35586,235350496,1,0,citta
35343,3228597746,0.83,1,paese
39075,9677572323,0.72,1,citta
35296,938280981,0.78,1,paese
39131,543090290,0.62,1,citta
43732,610255988,1,0,citta
39082,576475244,0.8,1,paese
37806,925056225,0.77,1,paese
34556,369948763,0.72,1,citta
31318,745385589,0.71,1,citta
29675,324536553,1,0,citta
31161,1138543565,0.56,1,citta
22475,232946942,0.53,1,citta
36522,294078841,1,0,citta
37809,446229418,1,0,citta
37532,1042555278,1,0,paese
35064,121729341,0.97,0,paese
31141,544009134,0.76,1,paese
31340,261967504,1,0,citta
40143,948035412,0.51,1,citta
39676,67285876,0.81,1,citta
40332,829016017,0.78,1,citta
39914,368231198,0.75,1,paese
31116,1138543565,1,0,paese
28760,131108638,1,0,paese
37650,10793162389,0.78,1,paese
34805,835908835,0.76,1,citta
39007,1014894010,0.7,1,citta
28900,221413966,1,0,citta
42054,3627394670,1,0,paese
28284,923629223,0.78,1,paese
38286,448213063,0.81,1,paese
29681,448213063,0.79,1,paese
37400,1225651526,0.81,1,citta
33181,154082383,0.75,1,paese
39485,734541705,0.8,1,paese
36016,448213063,0.79,1,paese
39674,402049627,1,0,citta
39091,232569781,0.76,1,paese
40726,923676332,0.53,1,citta
36205,192855065,0.83,1,citta
30918,173043099,0.91,0,paese
40329,1191939434,0.52,1,citta
31307,544009134,0.76,1,paese
37870,943666063,1,0,citta
37662,318029045,0.74,1,citta
38636,612489412,1,0,citta
31100,278910049,0.76,1,paese
23863,4102488757,0.77,1,paese
31137,693049979,1,0,citta
28298,591941303,0.6,1,citta
30604,939151485,0.53,1,citta
21337,177779759,0.75,1,paese
34703,940346413,0.8,1,paese
39339,297284895,0.67,1,citta
31078,866028570,0.73,1,citta
36307,1237674677,0.76,1,citta
38404,921615843,1,0,citta
32760,33852147,0.65,1,citta
36273,439320188,0.57,1,citta
35039,923287655,1,0,citta
39076,230896851,0.81,1,paese
40326,494365604,0.51,1,citta
44417,482559448,0.53,1,citta
37559,6615272826,0.83,1,paese
35519,266170538,1,0,paese
21531,1273406878,0.9,0,paese
37560,5122652629,1,0,paese
29844,265149283,1,0,paese
31070,361558813,1,0,citta
34856,541970533,1,0,citta
30908,941228767,0.82,1,citta
37869,11481468260,0.76,1,paese
28335,543236904,1,0,paese
31331,923729605,1,0,citta
39342,177779762,0.75,1,paese
31315,448213063,0.76,1,paese
31153,117268277,1,0,paese
38301,1206059946,0.52,1,citta
35877,921167410,0.67,1,citta
35119,183802327,0.86,0,paese
31102,489747661,0.79,1,paese
35494,583565196,0.81,1,paese
40945,192532720,0.5,1,citta
31069,162505392,0.9,0,paese
28306,12333571335,0.88,1,citta
22996,925093031,0.93,0,citta
30638,851942155,0.85,1,citta
39377,960917388,1,0,citta
39617,986248473,1,0,paese
40512,1065979392,0.85,1,paese
27866,278910049,0.87,0,paese
31342,198499831,0.88,0,paese
35432,1222557004,0.83,1,paese
23557,769798170,0.76,1,paese
31332,898018092,0.76,1,citta
22952,1504058862,0.85,1,paese
22943,1682066880,1,0,paese
39340,666564511,0.84,1,paese
35804,934173887,0.86,0,paese
35463,957053088,0.88,1,citta
31158,338272796,1,0,citta
38998,58456161,0.77,1,paese
38403,845893024,0.82,1,paese
37657,1246440188,1,0,paese
32998,11944729400,0.52,1,citta
37398,448213063,0.84,1,paese
40950,1306263223,0.78,1,citta
33575,343691613,0.67,1,citta
37545,1005571852,0.75,1,citta
38405,553888308,1,0,paese
37168,408896726,1,0,paese
31118,436110222,0.83,1,paese
27483,177779759,0.81,1,paese
35788,773088720,0.72,1,citta
39622,1056345492,0.78,1,citta
31343,540888061,0.83,1,paese
36311,405237648,0.82,1,paese
36293,924577599,0.5,1,citta
37044,1090816316,0.68,1,citta
37807,474390851,0.78,1,paese
27492,224170655,0.95,0,paese
31312,10311354231,0.5,1,citta
40296,12185291171,0.52,1,citta
31107,1074506229,0.76,1,paese
36523,220764605,1,0,citta
31103,799345428,0.82,1,citta
31308,816333013,1,0,paese
35399,816333017,1,0,paese
33002,215101998,1,0,paese
38970,262074516,0.58,1,citta
26029,1112556488,0.81,1,paese
31175,1228259995,1,0,citta
34306,400499826,0.84,1,paese
31108,1226981122,1,0,citta
34552,631107228,0.73,1,citta
31085,935528236,1,0,citta
39092,52255166,1,0,paese
